ALPHA,K,ALBEDO,MAXINTCPTN,SLA,SLA_RATIO,FRACBB0,FRACBB1,TBB,RHOMIN,RHOMAX,TRHO,COEFFCOND,BLCOND,MAXCOND,MAXAGE,RAGE,NAGE,GROWTHTMIN,GROWTHTMAX,GROWTHTOPT,GROWTHSTART,MINDAYLENGTH,OMEGA_CTEM,RES0CTEM,EPSILON_CTEM,KAPPA,MIN_R0CTEM,MAX_S0CTEM,CN_LEAVES,CN_LITTER,CN_FINE_ROOTS,CN_LIVE_WOODS,CN_DEAD_WOODS,LEAVES_FINERTTOVER,DBHDCMAX,DBHDCMIN,SAP_A,SAP_B,HMAX,DMAX,CRA,CRB,CRC,MINPAREST,R,NSE,MAE
0.041439196,0.627207446,0.129146841,0.251008605,66.20267874,2.005755017,0.287615963,0.24237547,20.00259934,0.245469521,0.73144409,3.991605229,0.050137303,0.010786882,0.001095144,105.7706746,0.7444692,4.019771316,0.437376691,38.74706432,23.03490495,129.7381987,12.24515215,0.778983018,0.212963732,39.9966914,1.616740296,0.110666414,0.547815452,41.93744352,48.83355636,40.75402341,47.56725207,370.0461409,0.487033634,0.318800441,0.182350907,0.613183763,2.0492886,31.21996562,103.7636715,34.07114411,0.036854368,1.025189223,4.017414796,0.362601569,0.017090969,1.832487852
0.037991854,0.591723445,0.137436842,0.201983637,66.21154935,1.995589569,0.297021532,0.258907353,20.00303795,0.250878956,0.717968029,3.989641882,0.060685214,0.010471511,0.001511876,121.4182188,0.762432049,3.985845426,0.75669064,39.27899295,22.82237866,142.9118221,11.86947233,0.751420343,0.195561348,40.00819018,1.588595997,0.078812487,0.545769239,40.1380456,48.77339722,60.6627453,43.21314067,232.4704913,1.201024407,0.316604872,0.079928879,0.649555304,1.756231367,21.78112936,96.66621206,34.19922313,0.031144316,1.049892522,4.030678889,0.36453765,-1.388046501,1.533517979
0.047030739,0.598235567,0.111389164,0.275237091,66.19175406,2.003393549,0.304116465,0.244547564,19.99930168,0.549168135,0.70889648,4.003323613,0.061137988,0.005081102,0.001791927,115.7318772,0.780413105,4.009958192,0.999690558,38.35072558,25.79681423,141.6812721,12.1335521,0.806382631,0.185572554,40.0213136,1.58742719,0.075757059,0.53848548,42.54423515,48.52322182,52.72416572,40.41728987,240.6188528,1.459877527,0.243633811,0.134311802,0.62051811,1.834193408,33.08153107,110.5926815,34.15922528,0.041148986,1.142890942,4.036569315,0.361073414,-0.861960847,1.392011662
0.007044503,0.635737027,0.101083102,0.312308117,66.20607388,1.984769187,0.282675792,0.249057615,19.98011349,0.626866586,0.714819881,4.013906751,0.063673464,0.018427141,0.001140445,106.6962111,0.714795045,3.994694663,0.017027622,38.79096937,23.01293604,145.0105457,11.84697322,0.785611572,0.208669059,39.97609908,1.595021264,0.123049859,0.553273163,41.8427365,48.27948827,31.88005005,49.5916945,282.2699444,0.410434416,0.26524898,0.188148753,0.628030624,2.129142396,23.7037056,108.4430212,34.84776607,0.037970656,1.115076807,4.032759634,-0.141156667,-113.5604815,2.316501458
0.0439495,0.650538944,0.080325194,0.203475775,66.20051483,2.004606064,0.313014649,0.250987274,19.99776904,0.243750134,0.703084797,4.001316032,0.064089601,0.010990621,0.003134205,116.8836583,0.714427876,3.994426279,0.679311163,39.51320148,20.95788702,153.6186962,12.53197722,0.762964404,0.251176554,40.01677899,1.617190583,0.093645256,0.579450403,41.73276527,49.07523548,35.74894599,42.41034235,256.7421303,0.271194915,0.181614493,0.113872412,0.760944963,1.806365485,25.6773842,125.5368441,34.60684501,0.041378086,1.092239449,4.067610338,0.280881641,-3.526282635,1.46249757
0.016551223,0.661624771,0.104969377,0.300474587,66.19349464,2.014797799,0.276720427,0.24518096,20.00264227,0.519277489,0.71048174,3.980985941,0.060591749,0.016499882,0.003063387,93.41597304,0.752915097,3.975186345,0.923524648,39.10260565,25.54185566,157.4420237,12.08231395,0.797654827,0.219148843,39.98929974,1.604085709,0.094305406,0.543652796,43.83081923,48.36862278,48.09646124,47.34172256,372.78744,0.72483517,0.235214326,0.178198618,0.638349474,2.045306162,32.78194449,138.3993423,33.51686488,0.03439225,1.101063757,4.05784175,0.219247462,-26.78229149,1.9301069
0.068408405,0.697641838,0.116019675,0.272877992,66.18888688,1.99260022,0.282665639,0.239984289,19.98923299,0.105188559,0.714781078,3.992216291,0.068685256,0.010580874,0.004117409,135.5534101,0.754351444,3.978893359,0.195810815,38.97876298,25.35923073,157.2841275,12.14693042,0.805202685,0.215620832,39.990268,1.565245113,0.105868642,0.574403364,41.03252548,49.26276256,28.99862471,43.34410664,308.7168287,0.481108159,0.271399875,0.103177282,0.758575436,1.811733722,26.28164256,102.0513302,34.80466901,0.044611952,1.085645393,4.04943452,0.320715715,0.026879006,1.947230321
0.047144976,0.649345902,0.111130811,0.200712985,66.19064141,1.995950489,0.311416488,0.243282695,19.99272433,0.658982335,0.726984916,4.002201583,0.059367215,0.023324921,0.001750382,102.9042257,0.73600138,4.010883814,0.653883402,39.14099935,23.35700369,153.9631103,12.49027679,0.804909903,0.22021269,40.00132313,1.580580931,0.099855149,0.561551564,44.024932,48.15222453,39.04565153,42.3362043,278.2844489,0.534903903,0.208957807,0.06851926,0.642462164,1.959205106,27.38887513,99.63493967,34.43571599,0.031914378,1.162482364,4.035827664,0.320412793,-1.093293258,1.362526725
0.028861202,0.669607783,0.113600968,0.269495247,66.20374408,1.977895438,0.286683426,0.233628461,20.00903498,0.040659042,0.722901215,4.00433951,0.06144938,0.009380858,0.005534049,131.8522669,0.754139997,4.005705071,0.615796768,38.13457275,21.70987085,136.8915181,12.15784439,0.820561202,0.214762381,39.95206733,1.609372412,0.066983299,0.533356258,41.65494999,49.43412742,52.20130422,42.85589478,241.6244878,1.203498675,0.165615259,0.10660459,0.637293504,2.064720386,23.55046728,82.64041818,34.49574855,0.031960479,1.071610637,4.086256528,0.126821494,-13.47613193,1.903391642
0.025681728,0.66351197,0.106715482,0.295818194,66.21547379,2.019093265,0.296358699,0.252626731,20.00244026,0.195110021,0.714862639,4.005053672,0.059379777,0.017714155,0.005157935,91.48205931,0.761340798,3.986996453,0.214552637,39.54048258,22.0919955,144.9624281,11.89460774,0.824391794,0.203764495,39.99213225,1.588605866,0.065382182,0.529184836,41.35825363,48.07110351,46.16159807,40.62283542,272.8778365,0.887065334,0.20796966,0.207523886,0.603977903,2.019876578,25.83464666,137.6848931,35.19894241,0.041715589,1.194394525,4.057299178,0.228238817,-11.19253499,1.788221574
